TrackName,FishNo,Treatment,Month_Treatment,Month,Length,Weight
Variants: MTFA01_S180_L001_R_001,T29_F1,T29,5.1_T29,5.1,NA,NA
Variants: MTFA02_S181_L001_R_001,T29_F2,T29,5.1_T29,5.1,NA,NA
Variants: MTFA03_S182_L001_R_001,T29_F3,T29,5.1_T29,5.1,NA,NA
Variants: MTFA04_S183_L001_R_001,T29_F4,T29,5.1_T29,5.1,NA,NA
Variants: MTFA05_S184_L001_R_001,T29_F5,T29,5.1_T29,5.1,NA,NA
Variants: MTFA06_S185_L001_R_001,T29_F6,T29,5.1_T29,5.1,NA,NA
Variants: MTFA07_S186_L001_R_001,T24_F1,T24,5.1_T24,5.1,NA,NA
Variants: MTFA08_S187_L001_R_001,T24_F2,T24,5.1_T24,5.1,NA,NA
Variants: MTFA09_S188_L001_R_001,T24_F3,T24,5.1_T24,5.1,NA,NA
Variants: MTFA10_S189_L001_R_001,T24_F4,T24,5.1_T24,5.1,NA,NA
Variants: MTFA11_S190_L001_R_001,T24_F5,T24,5.1_T24,5.1,NA,NA
Variants: MTFA12_S191_L001_R_001,T24_F6,T24,5.1_T24,5.1,NA,NA
Variants: MTFA13_S192_L001_R_001,T34_F1,T34,5.1_T34,5.1,NA,NA
Variants: MTFA14_S193_L001_R_001,T34_F2,T34,5.1_T34,5.1,NA,NA
Variants: MTFA15_S194_L001_R_001,T34_F3,T34,5.1_T34,5.1,NA,NA
Variants: MTFA16_S195_L001_R_001,T34_F4,T34,5.1_T34,5.1,NA,NA
Variants: MTFA17_S196_L001_R_001,T34_F5,T34,5.1_T34,5.1,NA,NA
Variants: MTFA18_S197_L001_R_001,T34_F6,T34,5.1_T34,5.1,NA,NA
Variants: MTFA19_S198_L001_R_001,T2434_F1,T2434,5.1_T2434,5.1,NA,NA
Variants: MTFA20_S199_L001_R_001,T2434_F2,T2434,5.1_T2434,5.1,NA,NA
Variants: MTFA21_S200_L001_R_001,T2434_F3,T2434,5.1_T2434,5.1,NA,NA
Variants: MTFA22_S201_L001_R_001,T2434_F4,T2434,5.1_T2434,5.1,NA,NA
Variants: MTFA23_S202_L001_R_001,T2434_F5,T2434,5.1_T2434,5.1,NA,NA
Variants: MTFA24_S203_L001_R_001,T2434_F6,T2434,5.1_T2434,5.1,NA,NA
Variants: MTFA01_S84_L001_R_001,T29_F1,T29,5.2_T29,5.2,NA,NA
Variants: MTFA02_S85_L001_R_001,T29_F2,T29,5.2_T29,5.2,NA,NA
Variants: MTFA03_S86_L001_R_001,T29_F3,T29,5.2_T29,5.2,NA,NA
Variants: MTFA04_S87_L001_R_001,T29_F4,T29,5.2_T29,5.2,NA,NA
Variants: MTFA05_S88_L001_R_001,T29_F5,T29,5.2_T29,5.2,NA,NA
Variants: MTFA06_S89_L001_R_001,T29_F6,T29,5.2_T29,5.2,NA,NA
Variants: MTFA07_S90_L001_R_001,T24_F1,T24,5.2_T24,5.2,NA,NA
Variants: MTFA08_S91_L001_R_001,T24_F2,T24,5.2_T24,5.2,NA,NA
Variants: MTFA09_S92_L001_R_001,T24_F3,T24,5.2_T24,5.2,NA,NA
Variants: MTFA10_S93_L001_R_001,T24_F4,T24,5.2_T24,5.2,NA,NA
Variants: MTFA11_S94_L001_R_001,T24_F5,T24,5.2_T24,5.2,NA,NA
Variants: MTFA12_S95_L001_R_001,T24_F6,T24,5.2_T24,5.2,NA,NA
Variants: MTFA13_S96_L001_R_001,T34_F1,T34,5.2_T34,5.2,NA,NA
Variants: MTFA14_S97_L001_R_001,T34_F2,T34,5.2_T34,5.2,NA,NA
Variants: MTFA15_S98_L001_R_001,T34_F3,T34,5.2_T34,5.2,NA,NA
Variants: MTFA16_S99_L001_R_001,T34_F4,T34,5.2_T34,5.2,NA,NA
Variants: MTFA17_S100_L001_R_001,T34_F5,T34,5.2_T34,5.2,NA,NA
Variants: MTFA18_S101_L001_R_001,T34_F6,T34,5.2_T34,5.2,NA,NA
Variants: MTFA19_S102_L001_R_001,T2434_F1,T2434,5.2_T2434,5.2,NA,NA
Variants: MTFA20_S103_L001_R_001,T2434_F2,T2434,5.2_T2434,5.2,NA,NA
Variants: MTFA21_S104_L001_R_001,T2434_F3,T2434,5.2_T2434,5.2,NA,NA
Variants: MTFA22_S105_L001_R_001,T2434_F4,T2434,5.2_T2434,5.2,NA,NA
Variants: MTFA23_S106_L001_R_001,T2434_F5,T2434,5.2_T2434,5.2,NA,NA
Variants: MTFA24_S107_L001_R_001,T2434_F6,T2434,5.2_T2434,5.2,NA,NA
Variants: MTFAB01_S10_L001_R_001,T29_F1,T29,6_T29,6,25.5,157
Variants: MTFAB02_S1_L001_R_001,T29_F2,T29,6_T29,6,22,104
Variants: MTFAB03_S2_L001_R_001,T29_F3,T29,6_T29,6,22,102
Variants: MTFAB04_S3_L001_R_001,T29_F4,T29,6_T29,6,22.5,124
Variants: MTFAB05_S4_L001_R_001,T29_F5,T29,6_T29,6,26,193
Variants: MTFAB06_S5_L001_R_001,T29_F6,T29,6_T29,6,23,116
Variants: MTFAB07_S6_L001_R_001,T29_F7,T29,6_T29,6,20,78
Variants: MTFAB08_S7_L001_R_001,T29_F8,T29,6_T29,6,20.5,91
Variants: MTFAB09_S20_L001_R_001,T24_F1,T24,6_T24,6,18.5,68
Variants: MTFAB10_S11_L001_R_001,T24_F2,T24,6_T24,6,19.5,76
Variants: MTFAB11_S12_L001_R_001,T24_F3,T24,6_T24,6,20,93
Variants: MTFAB12_S13_L001_R_001,T24_F4,T24,6_T24,6,19,71
Variants: MTFAB13_S14_L001_R_001,T24_F5,T24,6_T24,6,21.5,110
Variants: MTFAB14_S15_L001_R_001,T24_F6,T24,6_T24,6,24,150
Variants: MTFAB15_S16_L001_R_001,T24_F7,T24,6_T24,6,20,89
Variants: MTFAB16_S17_L001_R_001,T24_F8,T24,6_T24,6,20,86
Variants: MTFAB17_S30_L001_R_001,T34_F1,T34,6_T34,6,22,125
Variants: MTFAB18_S21_L001_R_001,T34_F2,T34,6_T34,6,22.5,120
Variants: MTFAB19_S22_L001_R_001,T34_F3,T34,6_T34,6,24,150
Variants: MTFAB20_S23_L001_R_001,T34_F4,T34,6_T34,6,21.5,99
Variants: MTFAB21_S24_L001_R_001,T34_F5,T34,6_T34,6,18.5,70
Variants: MTFAB22_S25_L001_R_001,T34_F6,T34,6_T34,6,20.5,99
Variants: MTFAB23_S26_L001_R_001,T34_F7,T34,6_T34,6,21.5,114
Variants: MTFAB24_S27_L001_R_001,T34_F8,T34,6_T34,6,21.5,125
Variants: MTFAB25_S40_L001_R_001,T2434_F1,T2434,6_T2434,6,22.7,121
Variants: MTFAB26_S31_L001_R_001,T2434_F2,T2434,6_T2434,6,20,84
Variants: MTFAB27_S32_L001_R_001,T2434_F3,T2434,6_T2434,6,20.5,86
Variants: MTFAB28_S33_L001_R_001,T2434_F4,T2434,6_T2434,6,19.3,76
Variants: MTFAB29_S34_L001_R_001,T2434_F5,T2434,6_T2434,6,17.6,59
Variants: MTFAB30_S35_L001_R_001,T2434_F6,T2434,6_T2434,6,21.5,114
Variants: MTFAB31_S36_L001_R_001,T2434_F7,T2434,6_T2434,6,21.9,101
Variants: MTFAB32_S37_L001_R_001,T2434_F8,T2434,6_T2434,6,20.2,82
Variants: MTFAB162_S18_L001_R_001,T29_F1,T29,6_T29,6,25.5,157
Variants: MTFAB163_S19_L001_R_001,T29_F2,T29,6_T29,6,22,104
Variants: MTFAB164_S20_L001_R_001,T29_F3,T29,6_T29,6,22,102
Variants: MTFAB165_S21_L001_R_001,T29_F4,T29,6_T29,6,22.5,124
Variants: MTFAB166_S22_L001_R_001,T29_F5,T29,6_T29,6,26,193
Variants: MTFAB167_S23_L001_R_001,T29_F6,T29,6_T29,6,23,116
Variants: MTFAB168_S24_L001_R_001,T29_F7,T29,6_T29,6,20,78
Variants: MTFAB169_S42_L001_R_001,T24_F1,T24,6_T24,6,18.5,68
Variants: MTFAB170_S43_L001_R_001,T24_F2,T24,6_T24,6,19.5,76
Variants: MTFAB171_S44_L001_R_001,T24_F3,T24,6_T24,6,20,93
Variants: MTFAB172_S45_L001_R_001,T24_F4,T24,6_T24,6,19,71
Variants: MTFAB173_S46_L001_R_001,T24_F5,T24,6_T24,6,21.5,110
Variants: MTFAB174_S47_L001_R_001,T24_F6,T24,6_T24,6,24,150
Variants: MTFAB175_S48_L001_R_001,T24_F7,T24,6_T24,6,20,89
Variants: MTFAB176_S66_L001_R_001,T34_F1,T34,6_T34,6,22,125
Variants: MTFAB177_S67_L001_R_001,T34_F2,T34,6_T34,6,22.5,120
Variants: MTFAB178_S68_L001_R_001,T34_F3,T34,6_T34,6,24,150
Variants: MTFAB179_S69_L001_R_001,T34_F9,T34,6_T34,6,23.5,157
Variants: MTFAB180_S70_L001_R_001,T34_F10,T34,6_T34,6,19.5,90
Variants: MTFAB181_S71_L001_R_001,T34_F5,T34,6_T34,6,18.5,70
Variants: MTFAB182_S72_L001_R_001,T34_F7,T34,6_T34,6,21.5,114
Variants: MTFAB183_S90_L001_R_001,T2434_F1,T2434,6_T2434,6,22.7,121
Variants: MTFAB184_S91_L001_R_001,T2434_F2,T2434,6_T2434,6,20,84
Variants: MTFAB185_S92_L001_R_001,T2434_F3,T2434,6_T2434,6,20.5,86
Variants: MTFAB186_S93_L001_R_001,T2434_F9,T2434,6_T2434,6,22.7,107
Variants: MTFAB187_S94_L001_R_001,T2434_F6,T2434,6_T2434,6,21.5,114
Variants: MTFAB188_S95_L001_R_001,T2434_F10,T2434,6_T2434,6,21.8,118
Variants: MTFAB189_S96_L001_R_001,T2434_F7,T2434,6_T2434,6,21.9,101
Variants: MTFAB90_S79_L001_R_001,T24_F1,T24,12_T24,12,31.5,415
Variants: MTFAB91_S80_L001_R_001,T24_F2,T24,12_T24,12,31.5,389
Variants: MTFAB92_S81_L001_R_001,T24_F3,T24,12_T24,12,34.5,489
Variants: MTFAB93_S82_L001_R_001,T24_F4,T24,12_T24,12,32,461
Variants: MTFAB94_S83_L001_R_001,T24_F5,T24,12_T24,12,36.5,657
Variants: MTFAB95_S84_L001_R_001,T24_F6,T24,12_T24,12,33,438
Variants: MTFAB96_S85_L001_R_001,T24_F7,T24,12_T24,12,37,685
Variants: MTFAB97_S86_L001_R_001,T24_F8,T24,12_T24,12,36.5,595
Variants: MTFAB98_S87_L001_R_001,T24_F1,T24,12_T24,12,31.5,415
Variants: MTFAB99_S88_L001_R_001,T24_F2,T24,12_T24,12,31.5,389
Variants: MTFAB100_S89_L001_R_001,T24_F3,T24,12_T24,12,34.5,489
Variants: MTFAB101_S90_L001_R_001,T24_F4,T24,12_T24,12,32,461
Variants: MTFAB102_S91_L001_R_001,T24_F5,T24,12_T24,12,36.5,657
Variants: MTFAB103_S92_L001_R_001,T24_F6,T24,12_T24,12,33,438
Variants: MTFAB104_S93_L001_R_001,T24_F7,T24,12_T24,12,37,685
Variants: MTFAB105_S94_L001_R_001,T24_F8,T24,12_T24,12,36.5,595
Variants: MTFAB106_S95_L001_R_001,T24_F1,T24,12_T24,12,31.5,415
Variants: MTFAB107_S96_L001_R_001,T24_F2,T24,12_T24,12,31.5,389
Variants: MTFAB108_S97_L001_R_001,T24_F3,T24,12_T24,12,34.5,489
Variants: MTFAB109_S98_L001_R_001,T24_F4,T24,12_T24,12,32,461
Variants: MTFAB110_S99_L001_R_001,T24_F5,T24,12_T24,12,36.5,657
Variants: MTFAB111_S100_L001_R_001,T24_F6,T24,12_T24,12,33,438
Variants: MTFAB112_S101_L001_R_001,T24_F7,T24,12_T24,12,37,685
Variants: MTFAB113_S102_L001_R_001,T24_F8,T24,12_T24,12,36.5,595
Variants: MTFAB66_S55_L001_R_001,T29_F1,T29,12_T29,12,35,573
Variants: MTFAB67_S56_L001_R_001,T29_F2,T29,12_T29,12,35.5,629
Variants: MTFAB68_S57_L001_R_001,T29_F3,T29,12_T29,12,30,342
Variants: MTFAB69_S58_L001_R_001,T29_F4,T29,12_T29,12,38.5,823
Variants: MTFAB70_S59_L001_R_001,T29_F5,T29,12_T29,12,37.5,804
Variants: MTFAB71_S60_L001_R_001,T29_F6,T29,12_T29,12,37.5,755
Variants: MTFAB72_S61_L001_R_001,T29_F7,T29,12_T29,12,37.5,755
Variants: MTFAB73_S62_L001_R_001,T29_F8,T29,12_T29,12,33,437
Variants: MTFAB74_S63_L001_R_001,T29_F1,T29,12_T29,12,35,573
Variants: MTFAB75_S64_L001_R_001,T29_F2,T29,12_T29,12,35.5,629
Variants: MTFAB76_S65_L001_R_001,T29_F3,T29,12_T29,12,30,342
Variants: MTFAB77_S66_L001_R_001,T29_F4,T29,12_T29,12,38.5,823
Variants: MTFAB78_S67_L001_R_001,T29_F5,T29,12_T29,12,37.5,804
Variants: MTFAB79_S68_L001_R_001,T29_F6,T29,12_T29,12,37.5,755
Variants: MTFAB80_S69_L001_R_001,T29_F7,T29,12_T29,12,37.5,755
Variants: MTFAB81_S70_L001_R_001,T29_F8,T29,12_T29,12,33,437
Variants: MTFAB82_S71_L001_R_001,T29_F1,T29,12_T29,12,35,573
Variants: MTFAB83_S72_L001_R_001,T29_F2,T29,12_T29,12,35.5,629
Variants: MTFAB84_S73_L001_R_001,T29_F3,T29,12_T29,12,30,342
Variants: MTFAB85_S74_L001_R_001,T29_F4,T29,12_T29,12,38.5,823
Variants: MTFAB86_S75_L001_R_001,T29_F5,T29,12_T29,12,37.5,804
Variants: MTFAB87_S76_L001_R_001,T29_F6,T29,12_T29,12,37.5,755
Variants: MTFAB88_S77_L001_R_001,T29_F7,T29,12_T29,12,37.5,755
Variants: MTFAB89_S78_L001_R_001,T29_F8,T29,12_T29,12,33,437
Variants: MTFAB114_S103_L001_R_001,T34_F1,T34,12_T34,12,36,575
Variants: MTFAB115_S104_L001_R_001,T34_F2,T34,12_T34,12,36,728
Variants: MTFAB116_S105_L001_R_001,T34_F3,T34,12_T34,12,39,736
Variants: MTFAB117_S106_L001_R_001,T34_F4,T34,12_T34,12,33,483
Variants: MTFAB118_S107_L001_R_001,T34_F5,T34,12_T34,12,39.5,930
Variants: MTFAB119_S108_L001_R_001,T34_F6,T34,12_T34,12,34.5,528
Variants: MTFAB120_S109_L001_R_001,T34_F7,T34,12_T34,12,37.5,705
Variants: MTFAB121_S110_L001_R_001,T34_F8,T34,12_T34,12,38.5,814
Variants: MTFAB122_S111_L001_R_001,T34_F1,T34,12_T34,12,36,575
Variants: MTFAB123_S112_L001_R_001,T34_F2,T34,12_T34,12,36,728
Variants: MTFAB124_S113_L001_R_001,T34_F3,T34,12_T34,12,39,736
Variants: MTFAB125_S114_L001_R_001,T34_F4,T34,12_T34,12,33,483
Variants: MTFAB126_S115_L001_R_001,T34_F5,T34,12_T34,12,39.5,930
Variants: MTFAB127_S116_L001_R_001,T34_F6,T34,12_T34,12,34.5,528
Variants: MTFAB128_S117_L001_R_001,T34_F7,T34,12_T34,12,37.5,705
Variants: MTFAB129_S118_L001_R_001,T34_F8,T34,12_T34,12,38.5,814
Variants: MTFAB130_S119_L001_R_001,T34_F1,T34,12_T34,12,36,575
Variants: MTFAB131_S120_L001_R_001,T34_F2,T34,12_T34,12,36,728
Variants: MTFAB132_S121_L001_R_001,T34_F3,T34,12_T34,12,39,736
Variants: MTFAB133_S122_L001_R_001,T34_F4,T34,12_T34,12,33,483
Variants: MTFAB134_S123_L001_R_001,T34_F5,T34,12_T34,12,39.5,930
Variants: MTFAB135_S124_L001_R_001,T34_F6,T34,12_T34,12,34.5,528
Variants: MTFAB136_S125_L001_R_001,T34_F7,T34,12_T34,12,37.5,705
Variants: MTFAB137_S126_L001_R_001,T34_F8,T34,12_T34,12,38.5,814
Variants: MTFAB138_S127_L001_R_001,T2434_F1,T2434,12_T2434,12,36.9,659
Variants: MTFAB139_S128_L001_R_001,T2434_F2,T2434,12_T2434,12,36.5,577
Variants: MTFAB140_S129_L001_R_001,T2434_F3,T2434,12_T2434,12,34,515
Variants: MTFAB141_S130_L001_R_001,T2434_F4,T2434,12_T2434,12,35.5,625
Variants: MTFAB142_S131_L001_R_001,T2434_F5,T2434,12_T2434,12,36,598
Variants: MTFAB143_S132_L001_R_001,T2434_F6,T2434,12_T2434,12,37,649
Variants: MTFAB144_S133_L001_R_001,T2434_F7,T2434,12_T2434,12,33,464
Variants: MTFAB145_S134_L001_R_001,T2434_F8,T2434,12_T2434,12,40,846
Variants: MTFAB146_S135_L001_R_001,T2434_F1,T2434,12_T2434,12,36.9,659
Variants: MTFAB147_S136_L001_R_001,T2434_F2,T2434,12_T2434,12,36.5,577
Variants: MTFAB148_S137_L001_R_001,T2434_F3,T2434,12_T2434,12,34,515
Variants: MTFAB149_S138_L001_R_001,T2434_F4,T2434,12_T2434,12,35.5,625
Variants: MTFAB150_S139_L001_R_001,T2434_F5,T2434,12_T2434,12,36,598
Variants: MTFAB151_S140_L001_R_001,T2434_F6,T2434,12_T2434,12,37,649
Variants: MTFAB152_S141_L001_R_001,T2434_F7,T2434,12_T2434,12,33,464
Variants: MTFAB153_S142_L001_R_001,T2434_F8,T2434,12_T2434,12,40,846
Variants: MTFAB154_S143_L001_R_001,T2434_F1,T2434,12_T2434,12,36.9,659
Variants: MTFAB155_S144_L001_R_001,T2434_F2,T2434,12_T2434,12,36.5,577
Variants: MTFAB156_S145_L001_R_001,T2434_F3,T2434,12_T2434,12,34,515
Variants: MTFAB157_S146_L001_R_001,T2434_F4,T2434,12_T2434,12,35.5,625
Variants: MTFAB158_S147_L001_R_001,T2434_F5,T2434,12_T2434,12,36,598
Variants: MTFAB159_S148_L001_R_001,T2434_F6,T2434,12_T2434,12,37,649
Variants: MTFAB160_S149_L001_R_001,T2434_F7,T2434,12_T2434,12,33,464
Variants: MTFAB161_S150_L001_R_001,T2434_F8,T2434,12_T2434,12,40,846